"","cell_types"
"HSC1_1","HSC"
"HSC1_13","HSC"
"HSC1_14","HSC"
"HSC1_2","HSC"
"HSC1_3","HSC"
"HSC1_4","HSC"
"HSC1_6","HSC"
"HSC1_7","HSC"
"HSC1_8","HSC"
"HSC1_9","HSC"
"HSC3_10","HSC"
"HSC3_12","HSC"
"HSC3_13","HSC"
"HSC3_14","HSC"
"CMP_4","CMP"
"CMP_5","CMP"
"CMP_6","CMP"
"CMP_7","CMP"
"MEP_1","MEP"
"MEP_2","MEP"
"MEP_3","MEP"
"MEP_4","MEP"
"MEP_5","MEP"
"MEP_6","MEP"
"MEP_7","MEP"
"MEP_8","MEP"
"MEP_9","MEP"
"ERY1_3","ERY"
"ERY1_4","ERY"
"ERY1_5","ERY"
"ERY1_6","ERY"
"ERY1_7","ERY"
"ERY1_8","ERY"
"ERY1_9","ERY"
"ERY2_3","ERY"
"ERY2_4","ERY"
"ERY2_5","ERY"
"ERY2_6","ERY"
"ERY2_7","ERY"
"ERY2_8","ERY"
"ERY2_9","ERY"
"ERY3_3","ERY"
"ERY3_4","ERY"
"ERY3_5","ERY"
"ERY3_6","ERY"
"ERY3_7","ERY"
"ERY3_8","ERY"
"ERY4_3","ERY"
"ERY4_4","ERY"
"ERY4_5","ERY"
"ERY4_6","ERY"
"ERY4_7","ERY"
"ERY4_8","ERY"
"ERY4_9","ERY"
"ERY5_3","ERY"
"ERY5_5","ERY"
"ERY5_6","ERY"
"ERY5_7","ERY"
"ERY5_8","ERY"
"ERY5_9","ERY"
"MEGA1_2","MEGA"
"MEGA1_3","MEGA"
"MEGA1_4","MEGA"
"MEGA1_5","MEGA"
"MEGA1_6","MEGA"
"MEGA1_7","MEGA"
"MEGA2_2","MEGA"
"MEGA2_3","MEGA"
"MEGA2_4","MEGA"
"MEGA2_5","MEGA"
"MEGA2_6","MEGA"
"MEGA2_7","MEGA"
"GMP_4","GMP"
"GMP_5","GMP"
"GMP_7","GMP"
"GMP_9","GMP"
"GRAN1_2","GRAN"
"GRAN1_3","GRAN"
"GRAN1_4","GRAN"
"GRAN1_5","GRAN"
"GRAN1_6","GRAN"
"GRAN2_2","GRAN"
"GRAN2_4","GRAN"
"GRAN2_5","GRAN"
"GRAN2_6","GRAN"
"GRAN3_3","GRAN"
"GRAN3_4","GRAN"
"GRAN3_5","GRAN"
"GRAN3_6","GRAN"
"MONO1_1","MONO"
"MONO1_2","MONO"
"MONO1_3","MONO"
"MONO1_4","MONO"
"MONO2_1","MONO"
"MONO2_2","MONO"
"MONO2_3","MONO"
"MONO2_4","MONO"
"MONO2_5","MONO"
"EOS2_1","EOS"
"EOS2_2","EOS"
"EOS2_3","EOS"
"EOS2_4","EOS"
"EOS2_5","EOS"
"BASO1_3","BASO"
"BASO1_4","BASO"
"BASO1_5","BASO"
"BASO1_6","BASO"
"BASO1_7","BASO"
"BASO1_8","BASO"
